tbl_CallerDistGroupISP(tbl_CallerDistGroupISP)

Export Time:2018/06/03 11:13:26

ID,Discrimination group number,Caller number,Address nature,Phone number type,Function code,Call source code change flag,Charging source code change flag,Barring group number change flag,Peru user flag,Peru user state,Peru user sub state,Minimum length,Maximum length,Call source code,Charging source code,Barring group number,Caller category,Caller number change index,generic number change index,redirect number change index,original called number change index,Codec list,Caller toll call password,User Type,Hairpinning Mode,Preselect Policy Code,Original function code,Barring indication,Is or not Different Carrier,Change multi number,Set CLIR,Reserved,is wslst or not,Cause Value,Status
20,621,220611,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
21,1586,2203355,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111111,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
22,605,22008000,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
23,1,24761826,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
24,1,24545454,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
25,1,24543308,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
26,1,24343434,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
27,1,24252222,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
28,639,2205750,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
29,1,24947284,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
30,1,25555551,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
31,609,220320,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
32,609,220321,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
33,1,25444444,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
34,992,246669,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111111,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
35,652,220848,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
36,1,20123999,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
37,1,20129392,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
38,1,20129399,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
39,1,20199923,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
40,1,20821388,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
41,653,22091,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
42,657,2208425,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
43,1,25543443,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
44,1,23533444,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
45,1,22544333,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
46,1,26232323,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
47,1,26665555,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
48,1,28141414,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
49,1,28232323,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
50,1,26556565,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
51,1,23567890,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
52,1,27612313,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
53,1,25544433,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
54,1,20199239,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
55,1,20199123,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
56,1,20192932,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
57,1,25566775,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
58,1,25543433,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
59,1,23456789,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
60,1,20123993,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
61,1,24988888,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
62,675,2208495,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
63,675,2208496,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
64,675,2208497,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
65,675,2208498,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
66,675,2208499,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
67,676,2208495,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
68,676,2208496,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
69,619,220046,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
70,657,2208426,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
71,1586,2203356,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111111,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
72,1586,2203357,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111111,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
73,1,25555655,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
74,1,24885858,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
75,613,220339,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
76,748,2205660,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111111,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
77,748,2205661,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111111,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
78,627,2203360,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
79,627,2203361,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
80,627,2203362,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
81,627,2203363,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
82,627,2203364,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
83,628,2203360,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
84,628,2203361,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
85,628,2203362,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
86,628,2203363,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
87,628,2203364,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
88,1,24333332,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
89,629,220630,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
90,1,24584000,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,100,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
91,629,220631,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
92,629,220632,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
93,630,220630,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
94,630,220631,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
95,630,220632,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
96,631,220634,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
97,632,220634,All number,caller number,Modify caller attribute,True,False,False,'0,'0,'0,NULL,NULL,501,NULL,NULL,No change,'0,'0,'0,'0,1111111111111111111101111111111111111101,pwd,NULL,No restriction,65535,2,'0000000000,False,False,False,'0,'0,Calling number discrimination restriction,1
